Code,2018-11-14 00:00:00,2018-11-15 00:00:00,2018-11-16 00:00:00,2018-11-19 00:00:00,2018-11-20 00:00:00,2018-11-21 00:00:00,2018-11-22 00:00:00,2018-11-23 00:00:00,2018-11-26 00:00:00,2018-11-27 00:00:00,2018-11-28 00:00:00,2018-11-29 00:00:00,2018-11-30 00:00:00,2018-12-03 00:00:00,2018-12-04 00:00:00,2018-12-05 00:00:00,2018-12-06 00:00:00,2018-12-07 00:00:00,2018-12-10 00:00:00,2018-12-11 00:00:00,2018-12-12 00:00:00,2018-12-13 00:00:00,2018-12-14 00:00:00,2018-12-17 00:00:00,2018-12-18 00:00:00,2018-12-19 00:00:00,2018-12-20 00:00:00,2018-12-21 00:00:00,2018-12-24 00:00:00,2018-12-25 00:00:00,2018-12-26 00:00:00,2018-12-27 00:00:00,2018-12-28 00:00:00,2018-12-31 00:00:00,2019-01-01 00:00:00
AAPL UW Equity,186.8,191.41,193.53,185.86,176.98,176.78,176.78,172.29,174.62,174.24,180.94,179.55,178.58,184.82,176.69,176.69,174.72,168.49,169.6,168.63,169.1,170.95,165.48,163.94,166.07,160.89,156.83,150.73,146.83,146.83,157.17,156.15,156.23,157.74,157.74
AXP UN Equity,107.77,109.6,109.46,108.25,106.09,106.5,106.5,105.74,109.68,110.11,112.89,111.31,112.27,112.36,107.64,107.64,108.25,106.68,105.79,105.4,107.48,106.7,105.7,101.18,101.02,98.77,95.77,91.33,89.5,89.5,93.84,94.68,94.42,95.32,95.32
BA UN Equity,344.72,341.57,335.95,320.94,317.7,317.32,317.32,312.32,316.36,318.03,333.5,342.56,346.76,359.96,342.5,342.5,331.9,323.22,326.35,322.03,326.69,325.47,318.75,316.13,328.06,319.55,313.05,304.55,294.16,294.16,313.93,317.14,316.38,322.5,322.5
CAT UN Equity,125.1,129.42,129.96,125.98,122.27,123.87,123.87,122.32,124.8,124.6,130.77,130.23,135.67,138.95,129.32,129.32,128.37,123.55,123.39,123.24,125.37,125.9,126.77,124.47,124.27,122.33,121.55,120.07,116.95,116.95,124.76,126.67,125.61,127.07,127.07
CSCO UW Equity,44.33,46.77,46.35,45.75,44.49,44.89,44.89,44.54,45.57,46.12,47.29,47.34,47.87,48.74,47.35,47.35,48.39,46.44,46.86,47.09,47.42,47.47,45.82,44.2,44.06,43.14,42.49,41.85,40.28,40.28,42.47,42.91,42.77,43.33,43.33
CVX UN Equity,115.72,116.95,119.06,119.42,116.1,117.57,117.57,113.6,114.98,115.21,118.14,118.85,118.94,120.67,117.24,117.24,115.91,115.49,114.94,115.47,115.62,115.94,113.83,112.45,109.74,107.83,104.98,104.21,100.99,100.99,107.39,109.32,108.65,108.79,108.79
DIS UN Equity,117.12,117.11,116.19,115.42,111.87,113.03,113.03,112.08,112.55,113.9,116.1,116.61,115.49,115.74,112.87,112.87,114.33,111.98,111.86,111.97,112.21,113.39,112.2,110.62,109.45,109.22,107.0,104.22,100.35,100.35,105.83,106.52,107.3,109.65,109.65
GS UN Equity,202.49,203.74,202.12,198.22,191.34,192.6,192.6,189.1,194.34,193.65,198.35,194.85,190.69,191.63,184.31,184.31,184.09,179.67,178.83,176.8,176.7,175.92,172.77,168.01,171.5,169.25,168.41,160.05,156.35,156.35,162.93,165.41,163.03,167.05,167.05
HD UN Equity,179.9,177.36,177.02,173.59,169.05,169.3,169.3,168.85,169.82,173.22,177.43,175.66,180.32,181.74,175.3,175.3,175.96,172.79,171.69,172.21,174.21,173.87,172.29,167.97,170.04,167.56,164.16,160.48,158.14,158.14,168.28,170.32,170.22,171.82,171.82
IBM UN Equity,120.2,121.44,121.57,120.31,117.2,118.57,118.57,117.19,119.56,120.03,123.0,121.48,124.27,125.31,121.6,121.6,123.91,119.34,121.13,120.89,121.16,120.73,119.9,116.1,116.65,116.43,113.02,110.94,107.57,107.57,111.39,113.78,113.03,113.67,113.67
